EMDB ID,Entry ID,Chain ID,count Deposited,RMSD Deposited,Coverage Deposited,Sequence Match Deposited,count CryoTEN,RMSD CryoTEN,Coverage CryoTEN,Sequence Match CryoTEN
9832,6JI1,B,141.0,2.03,56.3,5.8,144.0,2.1,61.7,7.4
9832,6JI1,A,140.0,2.01,60.4,7.2,144.0,2.08,64.5,6.4
9832,6JI1,D,141.0,1.97,61.0,7.4,144.0,2.08,61.0,6.7
34029,7YQM,A,144.0,1.32,66.1,6.1,144.0,1.37,78.3,8.8
35080,8HW1,C,144.0,1.2,78.0,5.9,137.0,1.26,79.7,20.3
35080,8HW1,H,144.0,1.24,79.7,12.5,122.0,1.25,86.7,8.6
4759,6R8F,C,144.0,1.85,59.7,2.1,144.0,1.99,92.4,4.1
4759,6R8F,B,144.0,1.4,80.0,6.5,133.0,1.47,80.0,5.4
4759,6R8F,A,120.0,1.43,79.0,6.4,108.0,1.49,90.8,6.5
32328,7W6K,B,144.0,2.1,73.2,5.7,144.0,2.0,76.6,5.7
32328,7W6K,A,106.0,2.13,71.5,6.5,144.0,2.01,76.1,7.4
30002,6LW1,B,144.0,1.46,73.0,7.2,127.0,1.52,75.1,7.3
20950,6UZ2,B,140.0,2.08,62.3,5.1,144.0,1.99,65.1,8.6
20950,6UZ2,A,113.0,2.06,59.5,9.7,144.0,1.99,66.5,5.0
33242,7XK3,C,136.0,1.23,88.0,4.1,143.0,1.21,94.0,61.0
33242,7XK3,B,138.0,1.07,92.5,24.9,144.0,1.24,92.0,51.4
12718,7O4H,C,144.0,1.88,80.0,5.9,144.0,1.93,81.5,8.7
12718,7O4H,B,144.0,1.9,80.3,5.3,144.0,1.86,82.1,10.4
12718,7O4H,A,144.0,1.96,69.7,7.4,144.0,1.99,69.0,6.9
12718,7O4H,D,114.0,2.0,40.2,5.2,144.0,1.88,43.9,4.8
18453,8QJX,C,144.0,2.12,90.9,7.8,118.0,2.28,99.5,7.1
18453,8QJX,B,144.0,1.74,98.5,10.3,144.0,1.62,97.0,6.8
18453,8QJX,A,144.0,1.7,97.5,6.8,144.0,1.61,97.0,7.9
18453,8QJX,E,144.0,1.91,75.2,4.6,100.0,1.86,84.2,6.5
10619,6XTX,A,144.0,1.49,73.5,4.2,144.0,1.41,74.0,6.2
13157,7P16,B,114.0,1.84,57.1,23.6,144.0,1.57,79.4,6.0
13157,7P16,A,144.0,1.86,56.6,8.3,144.0,1.96,77.0,9.4
23214,7L7J,C,140.0,1.74,77.3,8.2,143.0,1.73,58.2,4.7
26741,7USW,C,143.0,1.26,82.1,6.6,144.0,1.26,85.3,5.1
26741,7USW,B,144.0,1.39,47.2,8.0,144.0,2.06,78.8,5.6
26741,7USW,A,144.0,1.41,46.4,3.9,144.0,1.98,42.3,7.8
12483,7NNT,C,144.0,1.26,89.9,42.1,127.0,1.32,86.4,24.7
12483,7NNT,B,144.0,1.37,85.7,41.6,144.0,1.41,86.4,41.3
12483,7NNT,A,140.0,1.33,88.5,6.9,114.0,1.37,89.6,18.4
26351,7U5I,C,144.0,1.69,76.3,8.3,144.0,1.61,77.4,5.7
26351,7U5I,H,120.0,1.63,78.2,6.0,144.0,1.61,78.8,21.3
22937,7KNA,C,141.0,1.58,88.0,5.2,144.0,1.57,92.1,6.3
22937,7KNA,B,142.0,1.59,88.8,5.4,109.0,1.56,95.4,7.8
