EMDB ID,Entry ID,Chain ID,Coverage Deposited,Sequence Match Deposited,Coverage CryoTEN,Sequence Match CryoTEN
4032,5LC5,Y,89.1,44.7,75.4,9.6
4032,5LC5,i,70.8,22.7,71.7,2.6
4032,5LC5,B,57.8,7.1,53.1,6.4
4032,5LC5,H,84.0,6.5,67.1,13.3
4032,5LC5,U,61.2,5.8,80.0,7.4
4032,5LC5,O,72.3,6.2,72.0,3.5
4032,5LC5,I,25.0,6.8,71.6,13.5
4032,5LC5,m,76.3,8.9,74.6,3.4
4032,5LC5,h,80.6,0.9,86.6,3.4
4032,5LC5,a,70.3,51.1,82.8,73.6
4032,5LC5,J,81.9,28.6,85.4,47.3
4032,5LC5,c,80.4,5.4,84.8,10.3
4032,5LC5,Z,79.0,55.0,73.2,1.0
4032,5LC5,N,89.0,23.2,86.6,30.9
4032,5LC5,L,82.1,7.7,81.1,9.2
4032,5LC5,X,80.5,4.5,44.5,2.7
4032,5LC5,n,80.1,4.5,74.1,0.8
4032,5LC5,V,82.1,4.6,64.2,7.4
4032,5LC5,g,81.4,8.9,75.3,5.5
4032,5LC5,M,90.6,22.5,86.7,17.9
4032,5LC5,f,66.7,2.8,72.2,15.4
26806,7UUY,A,79.9,65.7,84.3,67.9
30002,6LW1,A,60.0,18.6,65.9,36.2
30002,6LW1,B,52.7,8.2,69.1,47.4
10213,6SJ7,A,27.3,7.2,34.1,4.1
10213,6SJ7,D,76.9,40.0,94.2,6.1
10213,6SJ7,C,57.0,8.9,49.4,10.3
10213,6SJ7,B,26.4,8.3,35.3,8.1
20226,6P07,A,68.5,42.2,87.8,56.5
20226,6P07,F,51.3,56.5,55.7,37.1
20226,6P07,D,80.5,30.7,44.6,37.0
20226,6P07,E,82.8,57.8,89.8,70.2
20226,6P07,G,86.7,84.6,93.3,100.0
20226,6P07,C,42.2,43.3,46.2,33.1
20226,6P07,B,81.8,51.2,63.7,45.1
20950,6UZ2,A,57.0,5.8,65.4,7.0
20950,6UZ2,B,56.7,18.6,64.2,7.1
10399,6T8B,A,76.1,71.2,89.7,49.7
10399,6T8B,F,74.3,8.1,82.9,41.9
10399,6T8B,D,51.8,6.9,70.2,19.3
10399,6T8B,E,48.0,5.3,62.0,6.2
10399,6T8B,C,79.8,11.4,81.6,46.1
10399,6T8B,B,78.8,38.8,84.8,56.5
12170,7BG4,A,54.7,5.4,59.1,8.6
12170,7BG4,B,52.7,11.7,59.4,15.1
33242,7XK3,A,63.9,47.7,97.1,68.8
33242,7XK3,F,53.9,53.2,57.4,27.4
33242,7XK3,D,86.3,77.8,55.9,71.1
33242,7XK3,E,81.8,61.7,90.4,41.9
33242,7XK3,C,88.0,38.5,85.7,67.4
33242,7XK3,B,92.8,82.5,94.6,82.2
30795,7DOK,A,74.6,63.9,91.5,73.8
30795,7DOK,G,57.5,46.0,50.0,10.3
30795,7DOK,C,95.7,90.9,100.0,89.9
30795,7DOK,B,65.8,25.5,71.0,82.7
14847,7ZOL,A,50.7,6.6,50.7,28.9
34369,8GY3,A,79.8,64.4,65.5,63.9
34369,8GY3,C,68.6,84.7,73.1,77.8
34369,8GY3,B,85.1,59.5,57.1,48.9
9832,6JI1,A,64.5,7.4,71.0,8.5
9832,6JI1,D,64.3,16.5,69.7,23.0
9832,6JI1,C,64.5,5.7,73.2,13.3
9832,6JI1,B,76.4,22.4,67.5,8.7
23465,7LOK,A,50.4,7.1,64.5,16.7
23465,7LOK,F,61.7,7.6,58.6,5.3
23465,7LOK,D,77.0,42.3,76.2,32.3
23465,7LOK,E,23.5,4.8,41.6,7.5
23465,7LOK,K,51.2,4.5,53.5,4.3
23465,7LOK,G,33.3,25.0,70.8,11.8
23465,7LOK,C,65.1,19.3,77.4,11.6
23465,7LOK,B,69.9,33.7,80.5,32.3
23465,7LOK,H,54.2,7.7,75.0,11.1
23465,7LOK,J,17.0,16.7,61.3,4.6
23465,7LOK,L,21.1,4.3,52.3,7.0
23465,7LOK,M,31.8,2.4,66.7,4.7
32940,7X1G,A,85.5,72.3,91.1,76.9
32940,7X1G,B,85.4,79.9,88.2,71.5
26741,7USW,A,70.6,68.3,78.9,57.3
26741,7USW,F,67.4,100.0,87.0,85.0
26741,7USW,D,76.1,82.9,63.0,13.8
26741,7USW,E,77.2,46.5,85.9,58.2
26741,7USW,C,76.1,21.4,80.4,55.4
26741,7USW,B,68.3,56.9,75.5,68.0
27892,8E4M,A,51.9,34.4,59.3,54.4
27892,8E4M,D,46.0,16.0,60.8,48.7
27892,8E4M,C,46.4,15.4,63.1,45.9
27892,8E4M,B,48.5,26.0,61.3,45.9
12483,7NNT,A,58.1,16.0,63.4,32.2
12483,7NNT,D,87.3,61.1,93.4,93.8
12483,7NNT,C,81.1,60.6,87.0,78.9
12483,7NNT,B,79.4,19.9,80.1,39.0
0567,6O0H,A,49.1,28.9,49.0,48.1
0567,6O0H,D,50.7,27.0,65.2,45.4
0567,6O0H,C,48.5,38.5,59.1,23.6
0567,6O0H,B,49.0,15.0,56.2,40.3
26351,7U5I,A,36.9,48.5,69.1,39.8
26351,7U5I,F,50.1,9.3,69.1,59.8
26351,7U5I,D,39.4,9.1,65.3,45.1
26351,7U5I,E,39.4,29.4,67.8,50.0
26351,7U5I,G,44.9,34.4,70.0,26.0
26351,7U5I,C,43.8,6.9,65.0,23.3
26351,7U5I,B,55.9,22.7,66.7,23.1
26351,7U5I,H,41.9,46.1,66.4,24.9
9975,6KG7,A,65.3,51.3,78.5,54.1
9975,6KG7,C,62.3,53.0,79.1,58.4
9975,6KG7,B,65.3,49.0,74.2,49.2
0257,6HRA,A,86.0,39.5,85.8,46.0
0257,6HRA,D,66.7,5.6,96.3,3.8
0257,6HRA,C,82.4,7.1,89.8,4.8
0257,6HRA,B,55.8,35.7,59.1,35.2
22937,7KNA,A,66.9,31.9,84.7,14.7
22937,7KNA,C,75.4,29.1,83.4,38.5
22937,7KNA,B,74.9,6.4,83.2,42.0
10549,6TQE,A,78.5,49.0,88.3,52.9
10549,6TQE,B,73.5,46.6,71.3,44.9
22344,7JIC,A,32.9,4.0,62.3,8.5
22344,7JIC,B,77.0,6.4,83.8,21.1
22344,7JIC,H,43.5,3.2,39.8,25.6
22344,7JIC,L,32.5,11.1,57.7,4.5
14368,7YXX,A,41.1,30.0,40.1,23.7
14368,7YXX,C,33.2,23.2,34.6,31.3
14368,7YXX,B,29.0,28.7,32.7,43.3
11793,7AI7,A,35.1,11.2,28.4,12.9
11793,7AI7,B,30.9,8.7,50.8,8.2
35452,8IHQ,A,91.7,88.2,85.9,57.6
35452,8IHQ,F,90.2,79.4,96.2,72.8
35452,8IHQ,D,93.5,80.9,95.7,74.5
35452,8IHQ,E,94.5,82.2,87.4,50.3
35452,8IHQ,G,92.5,65.5,95.7,59.1
35452,8IHQ,C,94.5,73.9,26.4,41.9
35452,8IHQ,B,92.0,86.3,95.0,75.7
35452,8IHQ,H,93.7,76.7,96.0,76.2
26838,7UWQ,A,72.5,64.0,82.2,70.2
26838,7UWQ,F,71.1,58.4,75.8,64.0
26838,7UWQ,D,67.2,55.7,77.8,57.9
26838,7UWQ,E,71.8,65.0,83.8,65.3
26838,7UWQ,C,65.6,63.7,52.7,48.7
26838,7UWQ,B,69.7,66.2,83.1,67.8
26940,7V07,D,70.0,21.4,85.0,5.9
26940,7V07,E,57.3,60.5,77.8,74.6
26940,7V07,C,89.4,74.7,74.9,65.4
26940,7V07,B,67.5,100.0,77.5,6.5
35410,8IF8,C,88.0,80.8,91.5,86.8
35410,8IF8,B,87.4,82.5,92.1,78.6
33619,7Y5G,A,58.6,35.0,77.2,19.7
33619,7Y5G,B,56.0,21.3,76.5,44.6
0716,6KLS,A,33.6,53.3,67.2,41.1
0716,6KLS,F,79.2,47.6,84.7,45.0
0716,6KLS,D,45.5,37.7,70.9,34.7
0716,6KLS,E,58.5,73.2,88.6,82.0
0716,6KLS,C,81.4,57.3,84.3,47.7
0716,6KLS,B,68.6,47.2,86.1,82.9
23615,7M18,A,25.7,15.2,30.7,6.0
23615,7M18,F,27.2,4.3,49.6,5.7
23615,7M18,D,23.7,7.9,53.2,5.3
23615,7M18,E,32.1,4.3,50.0,3.2
23615,7M18,K,27.1,4.2,33.9,8.1
23615,7M18,G,24.3,5.7,53.0,4.8
23615,7M18,C,22.0,5.2,45.9,5.0
23615,7M18,B,30.0,4.7,54.8,3.8
23615,7M18,H,25.1,7.5,50.4,6.5
23615,7M18,O,32.3,8.5,37.4,6.1
23615,7M18,I,29.8,8.5,47.5,3.9
23615,7M18,P,28.8,2.4,45.7,5.1
23615,7M18,J,25.1,5.6,51.8,5.4
23615,7M18,N,26.9,10.4,55.5,6.8
23615,7M18,L,30.9,8.3,50.6,6.0
23615,7M18,M,42.7,8.1,47.5,7.2
22278,6XOS,A,53.8,7.1,64.9,22.6
17240,8OWN,A,79.8,70.0,90.5,74.1
17240,8OWN,F,79.0,71.0,78.0,73.4
17240,8OWN,D,84.6,79.8,91.5,85.1
17240,8OWN,E,82.2,78.6,88.3,74.6
17240,8OWN,C,76.8,78.1,90.0,84.3
17240,8OWN,B,81.2,78.7,89.8,74.7
40962,8T1F,A,73.2,29.2,81.1,21.0
40962,8T1F,D,73.0,26.7,72.0,27.5
40962,8T1F,C,69.9,39.6,66.9,19.5
40962,8T1F,B,73.3,29.8,66.2,29.7
34898,8HMF,A,56.8,5.3,66.2,25.8
34898,8HMF,D,24.2,17.0,37.0,4.6
34898,8HMF,E,20.5,7.3,32.1,8.1
7046,6B40,A,55.9,6.8,61.3,6.2
7046,6B40,E,48.1,7.1,64.7,5.6
7046,6B40,N,25.7,6.4,37.4,7.3
7046,6B40,M,29.8,3.7,27.0,2.0
34258,8GTN,R,35.9,6.4,69.6,4.6
34258,8GTN,A,37.8,6.1,55.3,1.7
34258,8GTN,F,32.3,10.0,55.8,19.0
34258,8GTN,D,53.0,16.5,75.1,7.4
34258,8GTN,W,42.4,8.7,57.6,4.0
34258,8GTN,S,36.4,7.6,65.9,16.1
34258,8GTN,E,45.2,7.1,71.0,9.1
34258,8GTN,K,44.7,3.1,62.7,4.4
34258,8GTN,G,44.7,4.1,68.7,38.3
34258,8GTN,C,29.0,6.3,71.0,18.2
34258,8GTN,Q,47.5,5.8,71.9,6.4
34258,8GTN,T,46.1,2.0,71.9,17.3
34258,8GTN,Y,48.4,12.4,62.2,14.8
34258,8GTN,B,35.9,6.4,71.0,7.8
34258,8GTN,H,31.3,14.7,65.4,6.3
34258,8GTN,U,43.3,7.4,63.1,12.4
34258,8GTN,O,43.3,5.3,71.9,37.8
34258,8GTN,I,47.5,9.7,56.7,10.6
34258,8GTN,P,49.8,3.7,72.4,25.5
34258,8GTN,J,39.6,8.1,71.9,3.8
34258,8GTN,Z,32.3,5.7,58.1,5.6
34258,8GTN,N,30.9,7.5,66.4,19.4
34258,8GTN,L,35.0,5.3,75.6,7.9
34258,8GTN,X,46.1,6.0,70.0,5.9
34258,8GTN,V,31.3,2.9,73.3,14.5
34258,8GTN,M,41.0,7.9,63.6,19.6
13953,7QG9,R,73.4,10.8,65.5,13.2
13953,7QG9,A,14.9,31.9,20.9,3.1
13953,7QG9,F,67.5,54.6,77.2,24.0
13953,7QG9,D,70.9,60.5,73.3,72.1
13953,7QG9,W,92.6,8.5,90.2,8.7
13953,7QG9,S,66.9,9.7,77.7,10.2
13953,7QG9,E,68.1,19.0,73.7,21.9
13953,7QG9,K,64.0,27.0,76.3,9.4
13953,7QG9,G,93.0,78.3,95.6,39.3
13953,7QG9,C,20.3,4.3,26.3,6.6
13953,7QG9,Q,72.1,4.0,55.0,6.5
13953,7QG9,T,68.6,24.0,77.1,16.7
13953,7QG9,Y,68.1,48.2,94.1,65.6
13953,7QG9,B,22.8,8.5,19.4,2.2
13953,7QG9,H,87.6,66.7,88.9,58.5
13953,7QG9,U,55.0,9.1,80.0,6.2
13953,7QG9,O,77.0,21.5,77.0,27.1
13953,7QG9,I,94.0,7.1,83.2,7.3
13953,7QG9,P,72.9,10.8,80.7,55.8
13953,7QG9,a,90.2,51.1,86.8,29.4
13953,7QG9,J,73.4,7.8,62.6,9.2
13953,7QG9,Z,92.2,67.0,92.6,58.2
13953,7QG9,N,65.5,3.3,64.7,5.6
13953,7QG9,L,71.4,25.0,77.1,27.8
13953,7QG9,X,85.3,73.6,92.6,56.6
13953,7QG9,V,68.1,5.0,88.2,6.7
13953,7QG9,M,70.7,8.1,49.3,4.3
11783,7AHD,A,81.7,48.1,92.0,60.0
11783,7AHD,D,86.5,5.8,60.4,6.4
11783,7AHD,C,81.5,35.4,73.1,39.5
11783,7AHD,B,90.5,87.6,88.1,73.4
34400,8GZP,A,60.9,20.8,84.7,36.2
23684,7M5X,A,65.7,29.5,80.7,74.6
30117,6M6A,A,47.3,9.3,38.5,10.3
30117,6M6A,D,30.2,7.9,41.0,5.0
30117,6M6A,E,42.6,10.0,71.3,7.5
30117,6M6A,C,24.9,5.4,30.1,7.2
30117,6M6A,B,36.9,7.3,50.0,6.3
30117,6M6A,M,33.8,6.5,40.3,6.5
6487,3JBX,A,54.7,14.3,67.1,35.0
6487,3JBX,D,28.5,9.0,40.5,6.3
6487,3JBX,C,57.1,9.2,66.5,26.8
6487,3JBX,B,24.5,11.6,45.6,6.9
4489,6QB8,A,48.2,5.5,56.5,10.0
4489,6QB8,D,45.8,5.4,45.6,3.2
4489,6QB8,b,45.4,7.8,48.5,26.3
4489,6QB8,d,43.1,6.6,48.3,8.5
4489,6QB8,E,43.9,7.7,47.1,8.0
4489,6QB8,G,43.5,7.1,55.7,6.7
4489,6QB8,q,56.5,12.8,63.8,20.5
4489,6QB8,Q,41.0,6.6,57.8,9.3
4489,6QB8,e,43.4,9.6,57.6,6.2
4489,6QB8,z,37.6,8.4,55.9,8.8
4489,6QB8,B,43.9,9.7,55.9,38.2
4489,6QB8,H,40.1,7.0,58.9,6.8
4489,6QB8,h,51.0,14.9,55.2,5.8
4489,6QB8,a,49.6,7.0,47.6,4.7
4489,6QB8,Z,34.0,7.1,50.5,7.2
4489,6QB8,g,41.1,29.6,59.1,7.1
30189,7BTW,A,65.5,28.9,75.6,70.3
30189,7BTW,D,50.0,41.4,69.0,22.5
30189,7BTW,C,64.8,42.4,49.3,23.6
30189,7BTW,B,67.3,32.2,69.3,51.9
10351,6SZA,A,38.0,9.8,41.6,8.5
10351,6SZA,F,26.0,10.4,38.0,9.8
10351,6SZA,D,39.9,4.2,42.8,3.4
10351,6SZA,E,30.1,4.8,32.4,9.6
10351,6SZA,C,31.0,7.4,41.2,6.6
10351,6SZA,B,31.8,11.1,35.1,6.5
28332,8EOA,A,36.7,4.3,45.2,3.5
28332,8EOA,C,50.9,2.4,48.5,13.8
28332,8EOA,B,42.1,4.9,61.9,5.4
4400,6I2T,A,27.1,5.3,26.9,8.0
4400,6I2T,D,21.7,3.3,25.1,5.7
4400,6I2T,C,26.7,6.7,36.2,5.4
4400,6I2T,B,24.4,4.4,28.6,4.3
4400,6I2T,J,91.7,81.8,41.7,20.0
12718,7O4H,A,39.4,6.0,55.7,39.8
12718,7O4H,D,49.6,4.7,52.0,26.6
12718,7O4H,C,65.1,19.9,78.0,37.3
12718,7O4H,B,62.8,48.3,78.8,47.4
27696,8DTF,A,51.9,52.0,66.3,53.8
27696,8DTF,B,46.1,45.1,70.7,40.8
11720,7AD3,A,78.2,63.1,87.2,89.2
11720,7AD3,F,25.8,7.3,46.5,6.8
11720,7AD3,E,68.1,19.7,71.8,21.3
11720,7AD3,B,79.2,74.6,85.2,82.3
11720,7AD3,I,76.9,20.0,100.0,100.0
18453,8QJX,A,78.2,18.2,92.4,52.2
18453,8QJX,D,33.3,10.3,66.7,2.2
18453,8QJX,E,46.5,3.2,62.9,3.9
18453,8QJX,C,82.2,17.9,89.8,43.5
18453,8QJX,B,81.7,32.3,93.4,47.8
31479,7F6G,A,84.8,80.2,91.3,55.1
31479,7F6G,D,87.5,6.1,94.6,3.8
31479,7F6G,C,75.7,34.0,91.4,64.7
31479,7F6G,B,52.1,34.6,62.2,73.7
31479,7F6G,L,100.0,14.3,100.0,100.0
25414,7SSV,A,77.4,57.9,82.6,47.4
25414,7SSV,D,77.1,77.4,86.6,37.0
25414,7SSV,C,75.4,47.3,84.6,61.1
25414,7SSV,B,61.7,45.4,79.1,47.7
25414,7SSV,H,9.6,8.0,6.5,11.8
25414,7SSV,L,7.5,6.2,1.4,33.3
9869,6JPB,A,61.3,67.5,68.8,59.5
9869,6JPB,F,76.9,57.1,85.4,70.6
9869,6JPB,E,48.5,8.5,64.5,5.5
25745,7T8T,A,19.7,4.7,25.6,7.2
22338,7JHJ,R,61.7,73.1,78.3,76.0
22338,7JHJ,A,61.9,43.0,90.4,32.5
22338,7JHJ,D,48.5,32.7,86.3,36.3
22338,7JHJ,C,92.5,55.1,98.1,94.2
22338,7JHJ,B,93.2,54.0,77.4,50.0
10619,6XTX,7,69.4,26.7,83.9,59.4
10619,6XTX,A,80.6,24.7,75.5,37.2
10619,6XTX,D,75.9,7.8,90.1,5.5
10619,6XTX,E,62.1,8.1,82.9,7.6
10619,6XTX,3,64.8,30.7,84.5,44.2
10619,6XTX,2,48.0,6.6,63.4,31.1
10619,6XTX,C,76.3,59.5,84.5,53.0
10619,6XTX,6,66.4,19.7,77.0,42.3
10619,6XTX,B,89.8,73.4,95.5,48.8
10619,6XTX,5,44.0,42.5,65.0,50.9
10619,6XTX,4,74.1,38.6,85.1,48.9
33153,7XE0,A,36.6,13.0,44.7,38.7
33153,7XE0,F,34.8,5.1,53.0,7.7
33153,7XE0,D,42.9,11.2,52.8,1.9
33153,7XE0,E,39.3,25.5,45.7,27.9
33153,7XE0,G,35.4,4.7,44.9,9.6
33153,7XE0,C,38.2,16.6,46.8,18.6
33153,7XE0,B,40.9,5.0,52.5,5.3
33153,7XE0,H,48.5,6.8,47.7,5.3
33153,7XE0,I,32.1,8.6,47.1,7.8
33153,7XE0,J,43.7,7.6,46.4,6.0
13157,7P16,A,76.1,53.7,84.3,51.5
13157,7P16,B,23.8,3.3,62.7,6.3
23214,7L7J,A,63.7,26.2,79.5,60.1
23214,7L7J,C,50.9,7.1,63.6,10.0
23214,7L7J,B,79.1,41.4,87.6,40.4
9311,6N06,R,76.1,98.6,90.2,62.7
9311,6N06,A,84.1,9.5,95.0,7.3
9311,6N06,F,83.7,71.4,94.6,89.7
9311,6N06,D,83.7,77.9,95.7,80.7
9311,6N06,W,84.8,91.0,88.0,88.9
9311,6N06,S,93.5,65.1,95.7,86.4
9311,6N06,K,75.0,52.2,96.7,97.8
9311,6N06,G,94.6,96.6,94.6,71.3
9311,6N06,C,89.6,34.4,95.0,63.4
9311,6N06,Q,91.3,89.3,97.8,93.3
9311,6N06,T,95.7,87.5,94.6,62.1
9311,6N06,Y,91.3,90.5,96.7,96.6
9311,6N06,B,85.6,69.8,89.1,59.2
9311,6N06,H,91.3,72.6,89.1,82.9
9311,6N06,U,82.6,96.1,82.6,89.5
